content_id,compound_id,flavor_id,flavor_name,compound_name
0,11947,159,fish,Trimethylamine
1,8298,213,pungent,Acetaldehyde
2,8298,156,ether,Acetaldehyde
3,11889,231,sulfur,Methanethiol
4,11889,166,gasoline,Methanethiol
5,11889,165,garlic,Methanethiol
6,12086,226,solvent,Propanal
7,12086,213,pungent,Propanal
8,768,114,alkane,Pentane
9,8281,93,alcohol,
10,8281,213,pungent,
11,3592,133,cabbage,Dimethyl sulfide
12,3592,231,sulfur,Dimethyl sulfide
13,3592,166,gasoline,Dimethyl sulfide
14,3254,213,pungent,Ethyl formate
15,3384,156,ether,
16,3266,231,sulfur,Ethyl methyl sulfide
17,3266,165,garlic,Ethyl methyl sulfide
18,765,114,alkane,Hexane
19,3241,85,pineapple,Ethyl acetate
20,12037,172,herb,Isoprenyl alcohol
21,4344,156,ether,3-Pentanone
22,3275,249,wine,2-Methyl-1-propanol
23,3275,226,solvent,2-Methyl-1-propanol
24,3275,123,bitter,2-Methyl-1-propanol
25,12547,160,flower,
26,7634,190,mint,2-Methylpentan-3-one
27,8128,140,cocoa,2-Methylbutanal
28,8128,96,almond,2-Methylbutanal
29,3286,181,malt,3-Methylbutanal
30,8291,113,alkaline,
31,753,44,sweet,Ethanol
32,912,165,garlic,Thiophene
33,8286,213,pungent,
34,8286,215,rancid,
35,8286,227,soy,
36,11933,13,butter,"2,3-Butanedione"
37,1325,69,apple,Methyl 3-methylbutanoate
38,12617,186,medicine,
39,12617,164,fruit,
40,3383,249,wine,2-Butanol
41,29793,133,cabbage,mercaptoacetaldehyde
42,3379,213,pungent,Butanal
43,3379,59,green,Butanal
44,8244,159,fish,1-Penten-3-one
45,8244,213,pungent,1-Penten-3-one
46,3280,160,flower,Methyl isobutyrate
47,13888,231,sulfur,Methyl thiocyanate
48,8230,149,cream,"2,3-Pentanedione"
49,8230,13,butter,"2,3-Pentanedione"
50,8241,13,butter,1-Penten-3-ol
51,8241,213,pungent,1-Penten-3-ol
52,12065,215,rancid,
53,12065,14,cheese,
54,12065,232,sweat,
55,8081,156,ether,
56,8081,77,grape,
57,29794,59,green,3-penten-2-ol
58,29794,244,vinyl,3-penten-2-ol
59,1366,164,fruit,Ethyl propionate
60,5380,114,alkane,N-Heptane
61,11802,13,butter,Acetoin
62,11802,149,cream,Acetoin
63,12087,156,ether,Methyl butyrate
64,12087,164,fruit,Methyl butyrate
65,12087,44,sweet,Methyl butyrate
66,8300,19,sour,
67,8297,164,fruit,"1,1-Diethoxyethane"
68,8297,149,cream,"1,1-Diethoxyethane"
69,8131,181,malt,(S)-2-Methyl-1-butanol
70,3492,200,onion,Dimethyl disulfide
71,3492,133,cabbage,Dimethyl disulfide
72,3492,214,putrid,Dimethyl disulfide
73,8080,156,ether,2-Hexanone
74,8134,59,green,2-Methyl-2-butenal
75,8134,164,fruit,2-Methyl-2-butenal
76,8132,65,whiskey,Isopentyl alcohol
77,8132,181,malt,Isopentyl alcohol
78,8132,131,burnt,Isopentyl alcohol
79,12550,156,ether,2-Pentanone
80,12550,164,fruit,2-Pentanone
81,8235,89,strawberry,(E)-2-Pentenal
82,8235,164,fruit,(E)-2-Pentenal
83,8235,7,tomato,(E)-2-Pentenal
84,12110,249,wine,2-Methyl-1-butanol
85,12110,200,onion,2-Methyl-1-butanol
86,29795,164,fruit,3-pentanol
87,29796,59,green,"(3E,5E)-1,3,5-octatriene"
88,29796,94,plastic,"(3E,5E)-1,3,5-octatriene"
89,29797,146,cooked vegetable,1-hexen-3-one
90,29797,188,metal,1-hexen-3-one
91,11120,231,sulfur,2-Methylthiophene
92,8231,119,balsamic,1-Pentanol
93,8240,59,green,
94,8240,94,plastic,
95,8240,221,rubber,
96,14041,160,flower,"Linalool 3,7-oxide"
97,4613,213,pungent,2-Methylpentan-2-ol
98,12457,203,paint,Toluene
99,3276,164,fruit,2-Methylpropyl acetate
100,3276,69,apple,2-Methylpropyl acetate
101,3276,71,banana,2-Methylpropyl acetate
102,1927,172,herb,Prenol
103,9848,69,apple,
104,3279,44,sweet,Ethyl 2-methylpropanoate
105,3279,221,rubber,Ethyl 2-methylpropanoate
106,8094,59,green,1-Hexen-3-ol
107,8069,167,grass,Hexanal
108,8069,233,tallow,Hexanal
109,8069,157,fat,Hexanal
110,8179,44,sweet,"4-Methyl-3-penten-2-one, 9CI"
111,8179,139,chemical,"4-Methyl-3-penten-2-one, 9CI"
112,8086,176,leaf,(Z)-3-Hexenal
113,8086,59,green,(Z)-3-Hexenal
114,29798,133,cabbage,tetrahydrothiophene
115,5817,94,plastic,"1,3-Dimethylbenzene"
116,8111,172,herb,3-Hydroxy-2-pentanone
117,8111,241,truffle,3-Hydroxy-2-pentanone
118,21554,200,onion,3-Mercapto-2-butanone
119,3272,213,pungent,2-Methylpropanal
120,3272,181,malt,2-Methylpropanal
121,3272,59,green,2-Methylpropanal
122,12085,69,apple,Ethyl butyrate
123,11937,164,fruit,"2,3-Butanediol"
124,11937,200,onion,"2,3-Butanediol"
