content_id,compound_id,health_effect_id,health_effect_name,compound_name
0,453,1,(+)-inotropic,Theophylline
1,2100,1,(+)-inotropic,Caffeine
2,9030,2,(-)-chronotropic,Bornyl acetate
3,13577,2,(-)-chronotropic,(±)-Borneol
4,14619,2,(-)-chronotropic,"1,8-Cineole"
5,9030,3,(-)-inotropic,Bornyl acetate
6,13577,3,(-)-inotropic,(±)-Borneol
7,14619,3,(-)-inotropic,"1,8-Cineole"
8,633,4,11beta-hydroxysteroid-dehydrogenase inhibitor,Kaempferol
9,678,4,11beta-hydroxysteroid-dehydrogenase inhibitor,(S)-Naringenin
10,2798,4,11beta-hydroxysteroid-dehydrogenase inhibitor,Apigenin
11,11907,4,11beta-hydroxysteroid-dehydrogenase inhibitor,Quercetin
12,11906,5,12-lipoxygenase inhibitor,"3,3',4,4'-Tetrahydroxylignan"
13,12295,5,12-lipoxygenase inhibitor,Curcumin
14,12226,6,17beta-hydroxysteroid-dehydrogenase inhibitor,Biochanin A
15,2942,7,5alpha-reductase inhibitor,
16,11678,7,5alpha-reductase inhibitor,
17,11682,7,5alpha-reductase inhibitor,
18,11875,7,5alpha-reductase inhibitor,Arachidonic acid
19,12226,7,5alpha-reductase inhibitor,Biochanin A
20,12295,7,5alpha-reductase inhibitor,Curcumin
21,12465,7,5alpha-reductase inhibitor,alpha-Linolenic acid
22,12763,7,5alpha-reductase inhibitor,"(Z,Z)-9,12-Octadecadienoic acid"
23,12861,7,5alpha-reductase inhibitor,Oleic acid
24,2451,8,5-hydroxyeicosatetraenoic-acid inhibitor,
25,3103,8,5-hydroxyeicosatetraenoic-acid inhibitor,Eicosapentaenoic acid
26,5753,8,5-hydroxyeicosatetraenoic-acid inhibitor,
27,10397,8,5-hydroxyeicosatetraenoic-acid inhibitor,
28,12295,8,5-hydroxyeicosatetraenoic-acid inhibitor,Curcumin
29,2451,9,5-hydroxytryptamine inhibitor,
30,2536,9,5-hydroxytryptamine inhibitor,Quercetin 3-rutinoside
31,5892,9,5-hydroxytryptamine inhibitor,Parthenolide
32,624,10,5-lipoxygenase inhibitor,Fisetin
33,633,10,5-lipoxygenase inhibitor,Kaempferol
34,2451,10,5-lipoxygenase inhibitor,
35,2515,10,5-lipoxygenase inhibitor,Osthol
36,2576,10,5-lipoxygenase inhibitor,
37,2775,10,5-lipoxygenase inhibitor,Aesculetin
38,5892,10,5-lipoxygenase inhibitor,Parthenolide
39,7868,10,5-lipoxygenase inhibitor,
40,7869,10,5-lipoxygenase inhibitor,
41,7903,10,5-lipoxygenase inhibitor,
42,7926,10,5-lipoxygenase inhibitor,
43,7928,10,5-lipoxygenase inhibitor,
44,7929,10,5-lipoxygenase inhibitor,
45,7931,10,5-lipoxygenase inhibitor,
46,10529,10,5-lipoxygenase inhibitor,Zingerone
47,11864,10,5-lipoxygenase inhibitor,[6]-Shogaol
48,11906,10,5-lipoxygenase inhibitor,"3,3',4,4'-Tetrahydroxylignan"
