content_id,source_id,source_type,food_id,orig_content,orig_unit,food_name,food_group,food_subgroup,source_name,score,nutri_score,nutri_score_category
0,1,Nutrient,4,1.955,g/100g,Kiwi,Fruits,Tropical fruits,Fat,,-1,A
1,1,Nutrient,6,1.85395,g/100g,Garden onion,Vegetables,Onion-family vegetables,Fat,,-4,A
3,1,Nutrient,9,3.9,g/100g,Chives,Herbs and Spices,Herbs,Fat,,-3,A
4,1,Nutrient,11,2.5,g/100g,Cashew nut,Nuts,Nuts,Fat,,14,D
7,1,Nutrient,12,2.1886,g/100g,Pineapple,Fruits,Tropical fruits,Fat,,2,B
8,1,Nutrient,13,4.5,g/100g,Dill,Herbs and Spices,Herbs,Fat,,7,C
10,1,Nutrient,14,1.15,g/100g,Custard apple,Fruits,Tropical fruits,Fat,,3,C
13,1,Nutrient,15,2.165,g/100g,Wild celery,Herbs and Spices,Spices,Fat,,-1,A
15,1,Nutrient,16,1.7,g/100g,Peanut,Nuts,Nuts,Fat,,7,C
18,1,Nutrient,17,16.5,g/100g,Burdock,Vegetables,Root vegetables,Fat,,0,B
21,1,Nutrient,18,0.7,g/100g,Horseradish,Herbs and Spices,Spices,Fat,,-7,A
22,1,Nutrient,19,38.1,g/100g,Tarragon,Herbs and Spices,Herbs,Fat,,9,C
24,1,Nutrient,20,3.55,g/100g,Mugwort,Herbs and Spices,Herbs,Fat,,-5,A
26,1,Nutrient,21,2.15,g/100g,Asparagus,Vegetables,Shoot vegetables,Fat,,-2,A
27,1,Nutrient,22,2.9,g/100g,Oat,Cereals and cereal products,Cereals,Fat,,10,C
29,1,Nutrient,23,2.64,g/100g,Star fruit,Fruits,Tropical fruits,Fat,,-2,A
30,1,Nutrient,24,67.4595,g/100g,Brazil nut,Nuts,Nuts,Fat,,8,C
31,1,Nutrient,26,5.35,g/100g,Borage,Herbs and Spices,Oilseed crops,Fat,,-1,A
33,1,Nutrient,27,7.535,g/100g,Chinese mustard,Vegetables,Cabbages,Fat,,-4,A
35,1,Nutrient,32,1.528,g/100g,Brussel sprouts,Vegetables,Cabbages,Fat,,-6,A
