id,compound_id,health_effect_id,orig_health_effect_name,orig_compound_name,orig_citation,citation,citation_type,created_at,updated_at,creator_id,updater_id,source_id,source_type
1,453,1,(+)-Inotropic,THEOPHYLLINE,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,453,Compound
2,2100,1,(+)-Inotropic,CAFFEINE,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,2100,Compound
3,9030,2,(-)-Chronotropic,BORNYL-ACETATE,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,9030,Compound
4,13577,2,(-)-Chronotropic,BORNEOL,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,13577,Compound
5,14619,2,(-)-Chronotropic,"1,8-CINEOLE",,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,14619,Compound
6,9030,3,(-)-Inotropic,BORNYL-ACETATE,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,9030,Compound
7,13577,3,(-)-Inotropic,BORNEOL,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,13577,Compound
8,14619,3,(-)-Inotropic,"1,8-CINEOLE",,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,14619,Compound
9,633,4,11B-HSD-Inhibitor,KAEMPFEROL,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,633,Compound
10,678,4,11B-HSD-Inhibitor,NARINGENIN,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,678,Compound
11,2798,4,11B-HSD-Inhibitor,APIGENIN,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,2798,Compound
12,11907,4,11B-HSD-Inhibitor,QUERCETIN,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,11907,Compound
13,11906,5,12-Lipoxygenase-Inhibitor,NORDIHYDROGUAIARETIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,11906,Compound
14,12295,5,12-Lipoxygenase-Inhibitor,CURCUMIN,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,12295,Compound
15,12226,6,17-beta-hydroxysteroid dehydrogenase-Inhibitor,BIOCHANIN-A,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,12226,Compound
16,2942,7,5-Alpha-Reductase-Inhibitor,STEARIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,2942,Compound
17,11678,7,5-Alpha-Reductase-Inhibitor,PALMITOLEIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,11678,Compound
