id,name,description,chebi_name,chebi_id,created_at,updated_at,creator_id,updater_id,chebi_definition
1,(+)-inotropic,An agent that alters the force or energy of muscular contractions. Positively inotropic agents increase the strength of muscular contraction.,,,2012-04-10 10:05:13 UTC,2015-11-11 02:32:19 UTC,,,
2,(-)-chronotropic,"An agent that may change the heart rate by affecting the nerves controlling the heart, or by changing the rhythm produced by the sinoatrial node. Negative chronotropes decrease heart rate.",,,2012-04-10 10:05:13 UTC,2015-11-11 02:32:19 UTC,,,
3,(-)-inotropic,An agent that alters the force or energy of muscular contractions. Negatively inotropic agents weaken the force of muscular contractions.,,,2012-04-10 10:05:13 UTC,2015-11-11 02:32:19 UTC,,,
4,11beta-hydroxysteroid-dehydrogenase inhibitor,,enzyme inhibitor,23924,2012-04-10 10:05:13 UTC,2015-10-27 17:47:35 UTC,,,A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction.
5,12-lipoxygenase inhibitor,,enzyme inhibitor,23924,2012-04-10 10:05:13 UTC,2015-10-27 17:47:36 UTC,,,A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction.
6,17beta-hydroxysteroid-dehydrogenase inhibitor,,enzyme inhibitor,23924,2012-04-10 10:05:13 UTC,2015-10-27 17:47:37 UTC,,,A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction.
7,5alpha-reductase inhibitor,,5alpha-reductase inhibitor,50781,2012-04-10 10:05:13 UTC,2015-10-27 17:47:37 UTC,,,"An EC 1.3.1.* (oxidoreductase acting on CH-CH group of donor, NAD(+) or NADP(+) as acceptor) inhibitor that interferes with the action of of 3-oxo-5alpha-steroid 4-dehydrogenase (NADP(+)), EC 1.3.1.22, the enzyme which converts testosterone (CHEBI:17347) into the more potent androgen 5alpha-dihydrotestosterone."
8,5-hydroxyeicosatetraenoic-acid inhibitor,,inhibitor,35222,2012-04-10 10:05:13 UTC,2015-10-27 17:47:38 UTC,,,A substance that diminishes the rate of a chemical reaction.
9,5-hydroxytryptamine inhibitor,,serotonergic antagonist,48279,2012-04-10 10:05:13 UTC,2015-10-27 17:47:38 UTC,,,"Drugs that bind to but do not activate serotonin receptors, thereby blocking the actions of serotonin or serotonergic agonists."
10,5-lipoxygenase inhibitor,,enzyme inhibitor,23924,2012-04-10 10:05:13 UTC,2015-10-27 17:47:39 UTC,,,A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction.
11,8-hydroxyeicosatetraenoic-acid inhibitor,,inhibitor,35222,2012-04-10 10:05:13 UTC,2015-10-27 17:47:40 UTC,,,A substance that diminishes the rate of a chemical reaction.
12,beta inhibitor,,inhibitor,35222,2012-04-10 10:05:13 UTC,2015-10-27 17:47:40 UTC,,,A substance that diminishes the rate of a chemical reaction.
13,abortifacient,,abortifacient,50691,2012-04-10 10:05:14 UTC,2015-10-29 22:40:58 UTC,,,A chemical substance that interrupts pregnancy after implantation.
14,absorbent,"A substance or item able to soak liquid easily.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:10 UTC,,,
15,acantholytic,"Causing loss of intercellular connections, such as desmosomes, resulting in loss of cohesion between keratinocytes.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:18 UTC,,,
16,acaricide,,acaricide,22153,2012-04-10 10:05:14 UTC,2015-10-27 17:47:41 UTC,,,A substance used to destroy pests of the subclass Acari (mites and ticks).
17,acarifuge,,pesticide,25944,2012-04-10 10:05:14 UTC,2015-10-27 17:47:41 UTC,,,"Strictly, a substance intended to kill pests. In common usage, any substance used for controlling, preventing, or destroying animal, microbiological or plant pests."
18,angiotensin converting enzyme inhibitor,,angiotensin-converting enzyme inhibitor,35457,2012-04-10 10:05:14 UTC,2015-10-27 17:47:42 UTC,,,An EC 3.4.15.* (peptidyl-dipeptidase) inhibitor that interferes with the action of peptidyl-dipeptidase A (EC 3.4.15.1).
19,acetyl-CoA-carboxylase inhibitor,,enzyme inhibitor,23924,2012-04-10 10:05:14 UTC,2015-10-27 17:47:42 UTC,,,A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction.
20,acetylcholinergic,,cholinergic drug,38323,2012-04-10 10:05:14 UTC,2015-10-27 17:47:43 UTC,,,"Any drug used for its actions on cholinergic systems. Included here are agonists and antagonists, drugs that affect the life cycle of acetylcholine, and drugs that affect the survival of cholinergic neurons."
21,acetylcholinesterase inhibitor,,acetylcholinesterase inhibitor,38462,2012-04-10 10:05:14 UTC,2015-10-27 17:47:44 UTC,,,"An EC 3.1.1.* (carboxylic ester hydrolase) inhibitor that interferes with the action of enzyme acetylcholinesterase (EC 3.1.1.7), which helps breaking down of acetylcholine into choline and acetic acid."
22,acidifier,,food additive,64047,2012-04-10 10:05:14 UTC,2015-10-27 17:47:44 UTC,,,Any substance which is added to food to preserve or enhance its flavour and/or appearance.
23,acidulant,,food additive,64047,2012-04-10 10:05:14 UTC,2015-10-27 17:47:45 UTC,,,Any substance which is added to food to preserve or enhance its flavour and/or appearance.
24,acnegenic,,aetiopathogenetic role,52209,2012-04-10 10:05:14 UTC,2015-10-27 17:47:45 UTC,,,A role played by the molecular entity or part thereof which causes the development of a pathological process.
25,adaptogenic,"A substance or compounds that results in stabilization of physiological processes and promotion of homeostasis, an example being by decreased cellular sensitivity to stress.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:10 UTC,,,
26,addictive,"A substance causing dependency, in spite of effects.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:10 UTC,,,
27,additive,,food additive,64047,2012-04-10 10:05:14 UTC,2015-10-29 22:41:00 UTC,,,Any substance which is added to food to preserve or enhance its flavour and/or appearance.
28,adenosine antagonist,,antagonist,48706,2012-04-10 10:05:14 UTC,2015-10-27 17:47:46 UTC,,,Substance that attaches to and blocks cell receptors that normally bind naturally occurring substances.
29,adenylate-cyclase inhibitor,,enzyme inhibitor,23924,2012-04-10 10:05:14 UTC,2015-10-27 17:47:46 UTC,,,A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction.
30,adjuvant,,adjuvant,60809,2012-04-10 10:05:14 UTC,2015-10-29 22:41:00 UTC,,,Any pharmacological or immunological agent that modifies the effect of other agents such as drugs or vaccines while having few if any direct effects when given by itself.
31,adrenergic,,adrenergic agent,37962,2012-04-10 10:05:14 UTC,2015-10-27 17:47:47 UTC,,,Any agent that acts on an adrenergic receptor or affects the life cycle of an adrenergic transmitter.
